Date,AAPL,JPM,QQQ,SPY,XOM
2010-01-04,6.418382167816162,28.55213737487793,,85.27920532226562,37.881797790527344
2010-01-05,6.429479122161865,29.105186462402344,,85.50495147705078,38.02970886230469
2010-01-06,6.327211856842041,29.265106201171875,,85.56513977050781,38.3583984375
2010-01-07,6.315514087677002,29.844804763793945,,85.92634582519531,38.23789978027344
2010-01-08,6.357499599456787,29.77153205871582,,86.2122802734375,38.0844841003418
2010-01-11,6.301417350769043,29.671567916870117,,86.33268737792969,38.51178741455078
2010-01-12,6.229737758636475,28.978588104248047,,85.52751922607422,38.32006072998047
2010-01-13,6.317611217498779,29.484994888305664,,86.24990844726562,38.166656494140625
2010-01-14,6.2810235023498535,29.778179168701172,,86.48316955566406,38.17214584350586
2010-01-15,6.176055431365967,29.105186462402344,,85.51246643066406,37.8598747253418
2010-01-19,6.449274063110352,28.838661193847656,,86.58099365234375,37.94755554199219
2010-01-20,6.350004196166992,28.918621063232422,,85.70061492919922,37.268245697021484
2010-01-21,6.240236282348633,27.0129337310791,,84.05265808105469,36.539649963378906
2010-01-22,5.930727958679199,26.093395233154297,,82.178955078125,36.210941314697266
2010-01-25,6.090281009674072,26.126708984375,,82.60035705566406,36.073978424072266
2010-01-26,6.176356315612793,25.613630294799805,,82.25422668457031,36.112335205078125
2010-01-27,6.234538555145264,26.206668853759766,,82.6454849243164,35.9041633605957
2010-01-28,5.976914405822754,26.306608200073242,,81.69735717773438,35.58643341064453
2010-01-29,5.760079383850098,25.946807861328125,,80.80943298339844,35.29608154296875
2010-02-01,5.840156555175781,26.40656280517578,,82.06609344482422,36.254764556884766
2010-02-02,5.874046325683594,27.01958656311035,,83.05937957763672,36.68207550048828
2010-02-03,5.9751152992248535,26.846343994140625,,82.6454849243164,36.48486328125
2010-02-04,5.75977897644043,25.55366325378418,,80.0945816040039,35.4549560546875
2010-02-05,5.862049102783203,25.520357131958008,,80.2601318359375,35.49877166748047
2010-02-08,5.8218607902526855,25.120561599731445,,79.68071746826172,35.482242584228516
2010-02-09,5.883942604064941,25.580320358276367,,80.6814956665039,35.950923919677734
2010-02-10,5.85185432434082,25.900157928466797,,80.52349853515625,35.757930755615234
2010-02-11,5.958320617675781,26.000099182128906,,81.36627197265625,35.97298049926758
2010-02-12,6.009605407714844,25.953462600708008,,81.2985610961914,35.73035430908203
2010-02-16,6.10017728805542,26.699748992919922,,82.57778930664062,36.54644012451172
2010-02-17,6.0746870040893555,26.679763793945312,,82.96907806396484,36.259700775146484
2010-02-18,6.08608341217041,26.926294326782227,,83.45816040039062,36.369972229003906
2010-02-19,6.0482940673828125,26.673097610473633,,83.63125610351562,36.32035446166992
2010-02-22,6.010806560516357,27.219482421875,,83.64630126953125,36.06120681762695
2010-02-23,5.910035133361816,26.573143005371094,,82.63047790527344,35.80755615234375
2010-02-24,6.018003463745117,27.219482421875,,83.3904800415039,36.143917083740234
2010-02-25,6.058191299438477,27.07954978942871,,83.27760314941406,35.9178352355957
2010-02-26,6.1367669105529785,27.96577262878418,,83.33026885986328,35.840641021728516
2010-03-01,6.267827033996582,27.87247657775879,,84.19561767578125,36.06120681762695
2010-03-02,6.263631820678711,27.732559204101562,,84.42887115478516,36.1108283996582
2010-03-03,6.278024196624756,27.672592163085938,,84.50413513183594,36.077754974365234
2010-03-04,6.319413185119629,27.932451248168945,,84.75997161865234,36.06120681762695
2010-03-05,6.566540718078613,28.52549171447754,,85.97149658203125,36.65119171142578
2010-03-08,6.570438861846924,28.378902435302734,,85.9865493774414,36.656700134277344
2010-03-09,6.688601970672607,28.265625,,86.12950134277344,36.82212448120117
2010-03-10,6.743185997009277,28.60546112060547,,86.51326751708984,37.06475067138672
2010-03-11,6.7629804611206055,28.77202606201172,,86.87446594238281,37.06475067138672
2010-03-12,6.795971393585205,28.752033233642578,,86.88197326660156,36.83314895629883
2010-03-15,6.713195323944092,28.6987361907959,,86.9045639038086,36.557456970214844
2010-03-16,6.731490612030029,28.81200408935547,,87.59687042236328,36.70632553100586
2010-03-17,6.721592903137207,29.178489685058594,,88.1160659790039,37.141929626464844
2010-03-18,6.737486839294434,29.07854461669922,,88.0709228515625,37.158470153808594
2010-03-19,6.6655097007751465,28.951946258544922,,87.62512969970703,36.965492248535156
2010-03-22,6.740486145019531,29.14516830444336,,88.0936050415039,36.9268913269043
2010-03-23,6.848753929138184,29.704891204833984,,88.7131576538086,36.915863037109375
2010-03-24,6.879046440124512,29.944772720336914,,88.28246307373047,36.667728424072266
2010-03-25,6.797469615936279,29.944772720336914,,88.13893127441406,36.557456970214844
2010-03-26,6.924933433532715,29.99806785583496,,88.08602905273438,36.68979263305664
2010-03-29,6.969620227813721,29.891454696655273,,88.64517974853516,37.10885238647461
2010-03-30,7.073387622833252,29.704891204833984,,88.70565032958984,36.97100830078125
2010-03-31,7.04789400100708,29.81817054748535,,88.40338134765625,36.932403564453125
2010-04-01,7.076987266540527,30.138357162475586,,89.00787353515625,37.27978515625
2010-04-05,7.152564525604248,30.245088577270508,,89.73320770263672,37.59960174560547
2010-04-06,7.184055328369141,30.578624725341797,,89.94474792480469,37.439701080322266
2010-04-07,7.215847015380859,30.231748580932617,,89.43097686767578,37.13090896606445
2010-04-08,7.196349143981934,30.525266647338867,,89.74075317382812,37.417640686035156
2010-04-09,7.251532077789307,30.672016143798828,,90.33013153076172,37.91388702392578
2010-04-12,7.266531467437744,30.77873992919922,,90.47367095947266,37.88631820678711
2010-04-13,7.27072811126709,30.598621368408203,,90.54166412353516,37.85875701904297
