Date,AAPL,JPM,QQQ,SPY,XOM
2010-01-04,6.418384552001953,28.55215072631836,40.3935661315918,85.2791976928711,37.881797790527344
2010-01-05,6.429481506347656,29.10519027709961,40.3935661315918,85.50493621826172,38.02970504760742
2010-01-06,6.327208042144775,29.265098571777344,40.14990997314453,85.56514739990234,38.3583869934082
2010-01-07,6.3155131340026855,29.84481430053711,40.176025390625,85.92634582519531,38.23788833618164
2010-01-08,6.3575029373168945,29.771530151367188,40.50668716430664,86.21224975585938,38.0844841003418
2010-01-11,6.301418781280518,29.671566009521484,40.34136199951172,86.33268737792969,38.51179122924805
2010-01-12,6.229739189147949,28.97858238220215,39.8366584777832,85.52751159667969,38.320064544677734
2010-01-13,6.317613124847412,29.484996795654297,40.3326530456543,86.24990844726562,38.16666030883789
2010-01-14,6.281025409698486,29.778175354003906,40.367462158203125,86.4831771850586,38.172142028808594
2010-01-15,6.176056385040283,29.10519027709961,39.8975715637207,85.51249694824219,37.859886169433594
2010-01-19,6.449275016784668,28.83864974975586,40.541500091552734,86.58098602294922,37.947540283203125
2010-01-20,6.350003719329834,28.918628692626953,39.95847702026367,85.7005844116211,37.26823425292969
2010-01-21,6.240236759185791,27.01292610168457,39.58430480957031,84.05265808105469,36.53963088989258
2010-01-22,5.930728435516357,26.09339141845703,38.42698669433594,82.1789779663086,36.2109260559082
2010-01-25,6.090280532836914,26.126707077026367,38.55748748779297,82.6003646850586,36.07398986816406
2010-01-26,6.176354885101318,25.6136417388916,38.592308044433594,82.25421142578125,36.112335205078125
2010-01-27,6.234537124633789,26.206666946411133,38.89686965942383,82.6455078125,35.90415573120117
2010-01-28,5.9769134521484375,26.30661964416504,37.896156311035156,81.6973876953125,35.586421966552734
2010-01-29,5.7600789070129395,25.946802139282227,37.234825134277344,80.8094482421875,35.29607391357422
2010-02-01,5.840156555175781,26.40656852722168,37.643802642822266,82.06609344482422,36.25476837158203
2010-02-02,5.874044895172119,27.01959800720215,37.983184814453125,83.05937194824219,36.68208312988281
2010-02-03,5.975115776062012,26.846338272094727,38.1920166015625,82.6455078125,36.4848518371582
2010-02-04,5.759778022766113,25.553665161132812,37.086910247802734,80.09458923339844,35.45496368408203
2010-02-05,5.862048625946045,25.52034568786621,37.4001579284668,80.2601318359375,35.49878692626953
2010-02-08,5.821861267089844,25.120555877685547,37.130401611328125,79.68069458007812,35.48223876953125
2010-02-09,5.883944034576416,25.5803165435791,37.5132942199707,80.68150329589844,35.9509162902832
2010-02-10,5.851850509643555,25.900148391723633,37.434959411621094,80.52349853515625,35.757938385009766
2010-02-11,5.958320140838623,26.000106811523438,38.00059127807617,81.36627960205078,35.97296905517578
2010-02-12,6.00960636138916,25.953458786010742,38.07890319824219,81.2985610961914,35.730369567871094
2010-02-16,6.100178241729736,26.699752807617188,38.566200256347656,82.57777404785156,36.54642105102539
2010-02-17,6.074686527252197,26.679765701293945,38.78375244140625,82.96905517578125,36.259708404541016
2010-02-18,6.08608341217041,26.926313400268555,39.02739334106445,83.45819091796875,36.369972229003906
2010-02-19,6.048293590545654,26.673093795776367,39.009979248046875,83.63125610351562,36.320350646972656
2010-02-22,6.010804176330566,27.21949577331543,38.93169021606445,83.64630126953125,36.06119918823242
2010-02-23,5.910033702850342,26.573150634765625,38.42698669433594,82.63047790527344,35.80756378173828
2010-02-24,6.018002986907959,27.21949577331543,38.81856155395508,83.39045715332031,36.1439094543457
2010-02-25,6.058191776275635,27.079561233520508,38.809852600097656,83.27760314941406,35.91783142089844
2010-02-26,6.13676643371582,27.96577262878418,38.949058532714844,83.33023834228516,35.840641021728516
2010-03-01,6.267827987670898,27.872480392456055,39.51469802856445,84.19561767578125,36.06119918823242
2010-03-02,6.263628959655762,27.73255157470703,39.63650894165039,84.42890167236328,36.1108283996582
2010-03-03,6.278025150299072,27.672584533691406,39.680030822753906,84.5041275024414,36.0777473449707
2010-03-04,6.319413185119629,27.93245506286621,39.8105583190918,84.760009765625,36.06119918823242
2010-03-05,6.566539287567139,28.525487899780273,40.410972595214844,85.97146606445312,36.651187896728516
2010-03-08,6.570439338684082,28.37889862060547,40.489288330078125,85.98653411865234,36.656700134277344
2010-03-09,6.688602924346924,28.265626907348633,40.715545654296875,86.12950134277344,36.8221321105957
2010-03-10,6.743184566497803,28.605438232421875,41.04621124267578,86.51326751708984,37.064754486083984
2010-03-11,6.762979030609131,28.772016525268555,41.202823638916016,86.87448120117188,37.064754486083984
2010-03-12,6.795968055725098,28.75203514099121,41.21152877807617,86.88199615478516,36.83314895629883
2010-03-15,6.713194847106934,28.69873046875,41.10711669921875,86.90457153320312,36.55744934082031
2010-03-16,6.731489658355713,28.812007904052734,41.368160247802734,87.59685516357422,36.70633316040039
2010-03-17,6.721593856811523,29.17849349975586,41.481292724609375,88.11607360839844,37.141929626464844
2010-03-18,6.737489223480225,29.07854652404785,41.620513916015625,88.07091522216797,37.158477783203125
2010-03-19,6.665510177612305,28.951942443847656,41.368770599365234,87.62511444091797,36.96548843383789
2010-03-22,6.7404866218566895,29.14516830444336,41.74333572387695,88.09354400634766,36.92688751220703
2010-03-23,6.848752975463867,29.704893112182617,42.03081512451172,88.71317291259766,36.91585159301758
2010-03-24,6.879044055938721,29.94476890563965,41.8304557800293,88.28250122070312,36.66773223876953
2010-03-25,6.797471046447754,29.94476890563965,41.769474029541016,88.13892364501953,36.55744934082031
2010-03-26,6.924932956695557,29.998071670532227,41.81303405761719,88.08602142333984,36.68979263305664
2010-03-29,6.969618797302246,29.89145278930664,42.01337814331055,88.64517211914062,37.10886001586914
