model,ticker,train_start,train_end,test_start,test_end,n_train,n_test,mu_hat,sigma_hat,df_hat,ll_train,ll_test,AIC_train,BIC_train
Normal,QQQ,2010-01-05,2022-10-05,2022-10-06,2025-12-17,3211,803,0.0005992503001029889,0.012974334320316012,inf,9394.883872920771,2332.028844185161,-18785.767745841542,-18773.619070453362
Student-t,QQQ,2010-01-05,2022-10-05,2022-10-06,2025-12-17,3211,803,0.0012533360522465197,0.008100441097979326,3.0,9741.493659178785,2385.223858438006,-19476.98731835757,-19458.7643052753
