date,return,VaR_normal,VaR_t,exceed_normal,exceed_t
2022-10-06,-0.0079040773930687,-0.036521661215532325,-0.0713192078750838,0,0
2022-10-07,-0.0388490377076289,-0.03646300633472378,-0.07122380425036087,1,0
2022-10-10,-0.0100465474616413,-0.03675232824591469,-0.07168275765067526,0,0
2022-10-11,-0.0138333600827147,-0.03679312064386112,-0.07173337828454178,0,0
2022-10-12,-0.0003428626125332,-0.03684403815527026,-0.0717779962412127,0,0
2022-10-13,0.0231817928903748,-0.03676801400001785,-0.07157153971770927,0,0
2022-10-14,-0.0305185745834188,-0.03680200864489346,-0.07168173817208616,0,0
2022-10-17,0.032488138759513,-0.0369706939021261,-0.07196919142399759,0,0
2022-10-18,0.0078769269000238,-0.037041940721922344,-0.07218232955369279,0,0
2022-10-19,-0.0036534995381423,-0.03702046932628429,-0.07216567655593337,0,0
2022-10-20,-0.005114798759199,-0.03695790314763169,-0.07206774246165575,0,0
2022-10-21,0.0231769747735883,-0.03697527994495572,-0.0720879451088007,0,0
2022-10-24,0.0109413008474481,-0.03700621093792341,-0.07219355088878372,0,0
2022-10-25,0.0204747358923222,-0.03700190388443275,-0.07220587529731927,0,0
2022-10-26,-0.0223440608234781,-0.037025425821852545,-0.07228673697119911,0,0
2022-10-27,-0.018373689966717,-0.03707905507990047,-0.07237775051978779,0,0
2022-10-28,0.0301417336317522,-0.03717087991791036,-0.0725075900504475,0,0
2022-10-31,-0.0116959786095058,-0.03693427671487999,-0.07217780411255353,0,0
2022-11-01,-0.0102702095244913,-0.03696866145211253,-0.07219008966352561,0,0
2022-11-02,-0.0348784589382402,-0.036857302228075185,-0.07200185407322121,0,0
2022-11-03,-0.0197282006312891,-0.037106977720700554,-0.07241911140022915,0,0
2022-11-04,0.0159569561069874,-0.037193422857439803,-0.07251819278125649,0,0
2022-11-07,0.0109345538160408,-0.03700767483173711,-0.07210329730571145,0,0
2022-11-08,0.0072608784817687,-0.03695726192990103,-0.07197694310495528,0,0
2022-11-09,-0.0233469678563826,-0.036952252634581295,-0.07197946820882649,0,0
2022-11-10,0.0711932833193111,-0.03697482764725059,-0.07201842878937212,0,0
2022-11-11,0.0182586036944227,-0.037484620725185776,-0.07318206901924297,0,0
2022-11-14,-0.0087900107974006,-0.03746995729591843,-0.073146149796637,0,0
2022-11-15,0.0137435177872307,-0.03748596670520958,-0.07316968255095523,0,0
2022-11-16,-0.0137435177872307,-0.03749213923400429,-0.07319119101319431,0,0
2022-11-17,-0.0022095739264695,-0.03755316173162474,-0.07326966317179591,0,0
2022-11-18,3.5271960744154285e-05,-0.037550504765628434,-0.07326630420406713,0,0
2022-11-21,-0.0103403878023558,-0.03752788698943374,-0.07323623379814018,0,0
2022-11-22,0.0143000721017676,-0.03757031224015197,-0.07328479240308465,0,0
2022-11-23,0.0099865035199027,-0.03755100541042055,-0.0732870789570566,0,0
2022-11-25,-0.0065999986868074,-0.03754551182941825,-0.07329515178792227,0,0
2022-11-28,-0.014781948313054,-0.0375646350879367,-0.07329366266706056,0,0
2022-11-29,-0.0075986535974807,-0.037631701894310504,-0.07338507683900242,0,0
2022-11-30,0.0445771732116879,-0.03766078954374853,-0.0734101786629196,0,0
2022-12-01,0.0012267506466976,-0.03785953367493559,-0.07387843950025837,0,0
2022-12-02,-0.003991444379066,-0.03785946416318067,-0.07385656906802948,0,0
2022-12-05,-0.0169261032088101,-0.03787188963498006,-0.07387085735508332,0,0
2022-12-06,-0.0209377159379702,-0.03794827787422714,-0.07398531928586036,0,0
2022-12-07,-0.0040912278902354,-0.038056862665243885,-0.07415003792535574,0,0
2022-12-08,0.0117654633543073,-0.03807363133024308,-0.07416437673222731,0,0
2022-12-09,-0.0063970910089246,-0.038075326134839896,-0.0741835233438318,0,0
2022-12-12,0.0124733366774414,-0.03797466080127974,-0.07401820936678108,0,0
2022-12-13,0.010692777264361,-0.037977880836144146,-0.07404048193164167,0,0
2022-12-14,-0.0074415922847226,-0.03796805526648425,-0.07404568623343442,0,0
2022-12-15,-0.0341529332108123,-0.03799727151007164,-0.07407500456089802,0,0
2022-12-16,-0.0095803640366431,-0.038233290712822735,-0.07445109898945887,0,0
2022-12-19,-0.0141530773120415,-0.038271042646531764,-0.07449633283009831,0,0
2022-12-20,-0.0007790184164058,-0.03833295043340784,-0.07457813205751843,0,0
2022-12-21,0.0144020001439884,-0.03832744338830976,-0.07457162891496304,0,0
2022-12-22,-0.0247693114106617,-0.038324967915967546,-0.07459753251002457,0,0
2022-12-23,0.0022466315364209,-0.03846291120051074,-0.07481487103850541,0,0
2022-12-27,-0.0142390071282756,-0.038446106591579154,-0.07479584873452963,0,0
2022-12-28,-0.013290708896342,-0.03850741728433781,-0.07488031094931435,0,0
2022-12-29,0.0240827053063981,-0.03856228903634225,-0.07494337275968176,0,0
2022-12-30,-0.0006007303649839,-0.03859962116886926,-0.07506003201253908,0,0
2023-01-03,-0.0067824676957748,-0.038600874388346876,-0.07506128330544273,0,0
2023-01-04,0.0047525532103014,-0.038624016731758484,-0.07508900377334911,0,0
2023-01-05,-0.0157780830507414,-0.038562762895492,-0.07500527761414316,0,0
2023-01-06,0.0272272886384339,-0.03863378496455577,-0.07509859805737693,0,0
2023-01-09,0.0064522744196962,-0.03863190452416587,-0.07517269388771027,0,0
2023-01-10,0.0084286217999629,-0.03859109483354371,-0.07506007991617272,0,0
2023-01-11,0.0171523817843777,-0.038586457021912324,-0.07504281740727757,0,0
2023-01-12,0.0053898040413278,-0.03853735278898682,-0.07500685582054845,0,0
