ticker,model,alpha,window_days,start_test_date,LR_uc,p_uc,LR_ind,p_ind,LR_cc,p_cc,x,n,exceed_rate,reject_uc_5pct,reject_ind_5pct,reject_cc_5pct
QQQ,normal,0.01,504,2022-10-06,6.201106107196665,0.012767050250396705,0.982857497904547,0.3214943527442725,7.183963605101212,0.02754369014263125,16,803,0.019925280199252802,1,0,1
QQQ,t,0.01,504,2022-10-06,6.545474108513673,0.010515130312100052,9.83029237054923,0.0017166106074364418,16.375766479062904,0.00027800172492364883,2,803,0.0024906600249066002,1,1,1
